Designator,Mid X,Mid Y,Rotation,Layer
SW41,203.98,-39.8,0.0,top
SW42,213.7425,-59.6,0.0,top
SW43,218.38,-80.4,0.0,top
SW44,228.52,-100.4,0.0,top
SW45,334.28,-120.3,0.0,top
SW46,224.0,-39.8,0.0,top
SW47,233.48,-59.6,0.0,top
SW48,238.28,-80.5,0.0,top
SW49,248.38,-100.4,0.0,top
SW5,40.0425,-120.0,0.0,top
SW50,359.4425,-120.5,0.0,top
SW51,243.62,-39.8,0.0,top
SW52,253.42,-59.6,0.0,top
SW53,258.12,-80.4,0.0,top
SW54,268.22,-100.5,0.0,top
SW55,263.42,-39.8,0.0,top
SW56,273.32,-59.6,0.0,top
SW57,278.18,-80.3,0.0,top
SW58,288.3425,-100.5,0.0,top
SW59,283.28,-39.8,0.0,top
SW6,59.9425,-40.1,0.0,top
SW60,293.28,-59.6,0.0,top
SW61,303.28,-39.8,0.0,top
SW62,312.82,-59.6,0.0,top
SW63,298.4,-80.3,0.0,top
SW64,308.3,-100.5,0.0,top
SW65,323.285,-39.84,0.0,top
SW66,332.58,-59.6,0.0,top
SW67,318.3425,-80.4,0.0,top
SW68,384.5925,-39.95,0.0,top
SW69,352.5425,-39.9,0.0,top
SW7,60.0,-59.8,0.0,top
SW70,357.12,-59.7,0.0,top
SW71,350.02,-80.4,0.0,top
SW72,345.22,-100.4,0.0,top
SW73,404.2325,-39.95,0.0,top
SW74,424.0425,-40.05,0.0,top
SW75,384.62,-120.5,0.0,top
SW76,404.5,-120.65,0.0,top
SW77,424.2625,-120.75,0.0,top
SW78,404.3925,-100.85,0.0,top
SW79,445.8,-40.1,0.0,top
SW8,60.02,-80.0,0.0,top
SW80,445.75,-60.15,0.0,top
SW81,445.6425,-80.6,0.0,top
SW82,445.6,-100.85,0.0,top
SW83,445.52,-120.7,0.0,top
SW84,465.66,-40.18,0.0,top
SW85,465.58,-60.2,0.0,top
SW86,465.47,-80.7,0.0,top
SW87,465.43,-100.9,0.0,top
SW88,465.38,-120.75,0.0,top
SW89,485.38,-40.15,0.0,top
SW9,60.02,-100.1,0.0,top
SW90,485.38,-60.25,0.0,top
SW91,485.38,-80.7,0.0,top
SW92,485.4425,-100.85,0.0,top
SW93,485.3925,-120.9,0.0,top
SW94,505.05,-40.2,0.0,top
SW95,520.95,-73.15,0.0,top
U1,545.35,-57.185,0.0,bottom
